,,Test_MAE,Test_MAE,Test_RMSE,Test_RMSE,Test_R2,Test_R2,Execution_Time,Execution_Time
,,mean,std,mean,std,mean,std,mean,std
Mechanism,Method,,,,,,,,
MAR,EM,3.713,0.1011,9.3269,0.8091,0.81,0.0229,3.308,0.3681
MAR,KNN,2.7439,0.1176,6.9091,0.6137,0.8958,0.0125,0.5021,0.0119
MAR,MICE,2.5408,0.1571,6.6446,0.5601,0.9036,0.0108,1.8272,0.0313
MAR,Mean,3.7062,0.1059,9.3292,0.8134,0.8099,0.023,0.0059,0.0002
MAR,Median,3.5748,0.1341,9.7514,0.9246,0.7923,0.0276,0.0086,0.0002
MAR,MissForest,2.2568,0.075,6.2384,0.527,0.9151,0.0093,275.9122,0.6054
MCAR,EM,3.7117,0.1226,8.9651,0.6831,0.8156,0.0109,7.193,3.1706
MCAR,KNN,2.7002,0.1289,6.6434,0.5477,0.8987,0.0079,0.4868,0.0233
MCAR,MICE,2.4672,0.1018,6.3187,0.9395,0.9078,0.0214,1.8965,0.0657
MCAR,Mean,3.7085,0.1188,8.966,0.6781,0.8155,0.0107,0.006,0.0005
MCAR,Median,3.5626,0.1089,9.2284,0.7786,0.8046,0.0154,0.0083,0.0003
MCAR,MissForest,2.1775,0.0888,5.8559,0.5495,0.921,0.0104,278.7643,0.5271
MNAR,EM,3.8423,0.1815,9.0162,0.8975,0.8204,0.0207,16.966,4.5433
MNAR,KNN,2.655,0.1459,6.2803,0.6894,0.9125,0.0135,0.4468,0.0117
MNAR,MICE,2.5948,0.2761,6.4226,1.0161,0.9086,0.0207,2.3341,0.101
MNAR,Mean,3.8776,0.1834,9.0644,0.8774,0.8185,0.0202,0.0057,0.0002
MNAR,Median,3.5045,0.2167,8.8789,1.177,0.8257,0.0306,0.0082,0.0001
MNAR,MissForest,2.1514,0.1577,5.721,0.7647,0.9272,0.0156,280.5621,0.6012
